Product Catalogue,,,
,,,
Product,Size,Price (AUD),Description
Gentle Eye Makeup Remover,130 mL,$46.00,A gentle eye-area cleanser designed to remove makeup and everyday impurities without leaving the delicate skin feeling stripped.
Gentle Cleansing Gel,200 mL,$67.00,"A refreshing gel cleanser for daily use that helps remove makeup, excess oil and surface impurities while leaving skin feeling clean and comfortable."
Daily Facial Cleanser,200 mL,$67.00,"An everyday facial cleanser that lifts away dirt, oil and makeup to leave the complexion feeling fresh, soft and balanced."
C2O Cream to Oil Cleanser,200 mL,$67.00,"A nourishing cream cleanser that transforms into an oil-like texture to dissolve makeup, sunscreen and impurities while supporting a soft skin feel."
Daily Exfoliating Facial Scrub,200 mL,$67.00,"A facial exfoliant that helps polish away dead surface cells and smooth rough texture for a fresher, more refined-looking complexion."
ASAP Hand Sanitiser,110 mL,$12.50,"A convenient hand sanitiser for quick cleansing when soap and water are unavailable, ideal for handbags, workspaces and travel."
Deluxe Facial Cloth,,$19.00,"A soft, reusable facial cloth designed to assist with thorough cleanser removal and gentle daily cleansing."
Liquid Platinum,130 mL,$82.00,"An overnight resurfacing treatment that helps refine the appearance of skin texture and promote a smoother, brighter-looking complexion."
N20 Peptide Complex,30 mL,$190.00,"A concentrated peptide serum formulated to support firmer-looking, smoother and more resilient skin."
Super A+ Serum,30 mL,$125.00,"A vitamin A-focused night serum that helps improve the look of uneven texture, fine lines and overall skin clarity."
Super B Complex,30 mL,$125.00,"A hydrating vitamin B serum that helps support the skin barrier, improve moisture retention and calm the look of stressed skin."
Super C+ Complex,30 mL,$125.00,"An antioxidant vitamin C serum that helps brighten dull-looking skin and support a more even, radiant complexion."
Clear Complexion Gel,50 mL,$68.00,"A lightweight treatment gel for blemish-prone skin that helps reduce the look of congestion, excess oil and visible breakouts."
Radiance Serum,30 mL,$125.00,"A brightening serum designed to improve the appearance of dullness, uneven tone and discolouration for a more luminous look."
DNA Renewal Treatment,30 mL,$170.00,"An advanced anti-ageing treatment formulated to support smoother, firmer-looking skin and improve the appearance of visible ageing."
Firming Eye Lift,15 mL,$115.00,"A targeted eye treatment that hydrates and helps improve the appearance of fine lines, puffiness and tired-looking skin around the eyes."
Advanced Hydrating Moisturiser,50 mL,$114.00,"A daily moisturiser that provides lasting hydration and helps leave the skin feeling soft, supple and comfortably nourished."
Ultimate Hydration,50 mL,$114.00,A rich hydrating treatment for dry or dehydrated skin that helps restore moisture and improve softness and comfort.
Hydrating Night Repair+,50 mL,$104.00,"A nourishing overnight moisturiser that supports skin recovery while helping improve hydration, smoothness and softness by morning."
SPF50+ Moisturising Defence+,100 mL,$95.00,"A high-protection facial sunscreen with moisturising benefits, designed for comfortable daily wear and broad-spectrum UV protection."
SPF50+ Ultimate Defence,100 mL,$95.00,"A lightweight, high-protection facial sunscreen designed to provide broad-spectrum UV defence for everyday use."
CC Correcting Cream SPF15,75 mL,$72.00,"A colour-correcting complexion cream that helps even the look of skin tone, soften visible redness and provide light daily coverage."
Soothing Gel,200 mL,$65.00,"A cooling, lightweight gel that helps comfort and hydrate skin after sun exposure, hair removal or professional treatments."
Hydra Plump Lip Balm,10 mL,$26.00,"A conditioning lip balm that helps hydrate, soften and smooth dry lips while giving them a naturally plumped appearance."
Revitalising Bodyscrub,200 mL,$60.00,"A body exfoliant that helps remove dry surface cells and smooth rough areas, leaving skin feeling polished and refreshed."
Revitalising Bodymoist,200 mL,$60.00,"A daily body moisturiser that replenishes hydration and leaves the skin feeling soft, smooth and nourished."
Clearskin Bodygel,120 mL,$80.00,"A lightweight body treatment gel for areas prone to congestion and breakouts, helping improve the look of blemishes and uneven texture."
Gentle Cleansing Gel,50 mL,$37.50,"A travel-size refreshing gel cleanser that removes makeup, excess oil and impurities while leaving skin feeling clean and comfortable."
Daily Facial Cleanser,50 mL,$37.50,"A travel-size everyday cleanser that lifts away dirt, oil and makeup to leave skin feeling fresh and balanced."
C2O Cream to Oil Cleanser,50 mL,$37.50,"A travel-size nourishing cream-to-oil cleanser that dissolves makeup, sunscreen and impurities without a tight after-feel."
Daily Exfoliating Facial Scrub,50 mL,$37.50,A travel-size facial exfoliant that helps smooth rough texture and remove dull surface cells for fresher-looking skin.
SPF50+ Moisturising Defence+,50 mL,$58.00,"A compact high-protection facial sunscreen with moisturising benefits, ideal for daily use and travel."
SPF50+ Ultimate Defence,50 mL,$58.00,A compact lightweight facial sunscreen that provides high broad-spectrum UV protection for everyday wear.
Soothing Gel,50 mL,$37.50,"A travel-size cooling gel that helps hydrate and comfort skin after sun exposure, hair removal or professional treatments."
Discovery Set,,$145.00,A curated introductory skincare set featuring complementary essentials for customers beginning a new routine or trying the range.
Healthy Skin Essentials,,$129.00,"A practical collection of everyday skincare essentials selected to cleanse, hydrate and protect the skin."
Clear Complexion,,$149.00,"A targeted routine for oily, congested or blemish-prone skin, designed to support a clearer and more balanced-looking complexion."
Radiance Routine,,$249.00,"A complete brightening routine designed to improve the look of dullness, uneven tone and overall skin radiance."
Post Treatment Kit,,$99.00,"A gentle aftercare collection created to cleanse, soothe, hydrate and protect skin following suitable professional treatments."
Signature Serum Collection,,$315.00,"A premium serum collection combining complementary formulas to address hydration, brightness and visible signs of ageing."
Brow Gel,,$35.00,"A styling gel that shapes, defines and holds brow hairs in place for a neat, polished finish."
Brow & Lash Serum,,$45.00,"A conditioning serum designed to nourish the appearance of brows and lashes and support a fuller, healthier-looking finish."
Eyebrow Powder,,$25.00,"A blendable brow powder that fills sparse areas and adds soft, natural-looking definition with buildable colour."
Eyebrow Brush,,$10.00,"A precision brow brush designed for shaping, blending and applying brow powder or other brow products."
Eyelash Growth Mascara,,$50.00,"A defining mascara with conditioning benefits that enhances the appearance of lash length, volume and fullness."
,,,
Note: Descriptions are concise retail summaries. Confirm final wording against manufacturer-approved product claims before publishing.,,,
